ROI	x	y	z
Precentral_L	-38.43	-7.46	49.14
Frontal_Sup_2_L	-19.67	35.46	34.74
Frontal_Mid_2_L	-35.03	32.37	29.44
Frontal_Inf_Oper_L	-48.30	10.99	17.30
Frontal_Inf_Tri_L	-45.39	28.17	12.08
Frontal_Inf_Orb_2_L	-40.87	30.56	-8.58
Rolandic_Oper_L	-46.88	-10.25	12.14
Supp_Motor_Area_L	-5.19	3.05	59.56
Olfactory_L	-7.37	13.51	-12.60
Frontal_Sup_Medial_L	-4.67	47.39	29.14
Frontal_Med_Orb_L	-4.94	52.02	-9.36
Rectus_L	-4.94	35.21	-20.07
OFCmed_L	-13.74	35.12	-21.58
OFCant_L	-24.54	46.26	-16.61
OFCpost_L	-28.16	22.90	-20.00
OFClat_L	-42.03	39.36	-15.62
Insula_L	-34.91	4.94	1.67
Cingulate_Mid_L	-5.38	-16.60	39.71
Cingulate_Post_L	-4.71	-44.67	22.78
Hippocampus_L	-24.76	-22.46	-11.88
ParaHippocampal_L	-20.99	-17.79	-22.42
Amygdala_L	-23.01	-2.45	-18.95
Calcarine_L	-6.98	-80.32	4.60
Cuneus_L	-5.76	-81.86	25.40
Lingual_L	-14.36	-69.36	-6.51
Occipital_Sup_L	-16.26	-86.11	26.35
Occipital_Mid_L	-32.15	-82.49	14.30
Occipital_Inf_L	-35.98	-80.07	-9.66
Fusiform_L	-30.89	-41.88	-22.11
Postcentral_L	-42.40	-24.28	46.96
Parietal_Sup_L	-23.21	-61.31	57.16
Parietal_Inf_L	-42.61	-47.52	44.92
SupraMarginal_L	-55.65	-35.44	28.62
Angular_L	-43.93	-62.58	33.78
Precuneus_L	-7.09	-57.82	46.14
Paracentral_Lobule_L	-7.47	-27.15	68.19
Caudate_L	-12.17	8.56	10.66
Putamen_L	-23.89	2.00	0.70
Pallidum_L	-17.56	-1.86	-1.54
Heschl_L	-41.85	-20.54	8.18
Temporal_Sup_L	-52.94	-22.51	5.34
Temporal_Pole_Sup_L	-39.65	13.37	-21.94
Temporal_Mid_L	-55.37	-35.48	-4.08
Temporal_Pole_Mid_L	-36.24	12.80	-35.87
Temporal_Inf_L	-49.54	-29.79	-25.02
Cerebellum_Crus1_L	-34.89	-68.44	-30.76
Cerebellum_Crus2_L	-27.27	-75.08	-39.94
Cerebellum_3_L	-7.62	-38.87	-20.28
Cerebellum_4_5_L	-13.84	-45.16	-18.76
Cerebellum_6_L	-22.03	-60.76	-23.98
Cerebellum_7b_L	-31.09	-61.55	-47.25
Cerebellum_8_L	-24.53	-56.27	-49.55
Cerebellum_9_L	-9.75	-50.69	-47.74
Cerebellum_10_L	-21.29	-35.50	-43.57
Thal_AV_L	-5.95	-6.86	8.02
Thal_LP_L	-9.86	-16.92	14.75
Thal_VA_L	-10.71	-5.02	3.78
Thal_VL_L	-13.40	-12.27	6.85
Thal_VPL_L	-17.77	-21.44	5.35
Thal_IL_L	-9.75	-18.04	-0.30
Thal_Re_L	-5.50	-8.88	-4.00
Thal_MDm_L	-4.76	-15.71	4.28
Thal_MDl_L	-7.63	-14.60	5.06
